timestep,rollout,win_rate,draw_rate,loss_rate,avg_game_length,avg_sub_board_diff
20480,10,0.53,0.17,0.3,28.7,0.55
40960,20,0.58,0.18,0.24,28.3,1.04
61440,30,0.46,0.24,0.3,29.6,0.55
81920,40,0.57,0.18,0.25,29.2,0.92
102400,50,0.52,0.12,0.36,26.9,0.77
122880,60,0.65,0.16,0.19,28.8,0.84
143360,70,0.61,0.13,0.26,28.9,0.7
163840,80,0.58,0.16,0.26,27.8,0.98
184320,90,0.69,0.11,0.2,27.8,1.23
204800,100,0.66,0.13,0.21,26.9,1.38
225280,110,0.7,0.11,0.19,28.0,1.19
245760,120,0.59,0.24,0.17,27.6,1.21
266240,130,0.67,0.15,0.18,26.4,1.48
286720,140,0.77,0.16,0.07,26.1,1.56
307200,150,0.64,0.18,0.18,26.3,1.24
327680,160,0.74,0.15,0.11,25.1,1.72
348160,170,0.76,0.13,0.11,25.0,1.79
368640,180,0.85,0.06,0.09,24.8,2.08
389120,190,0.78,0.09,0.13,25.0,1.92
409600,200,0.76,0.15,0.09,24.6,2.03
430080,210,0.83,0.12,0.05,25.4,2.22
450560,220,0.77,0.15,0.08,24.8,2.0
471040,230,0.74,0.1,0.16,25.1,1.68
491520,240,0.75,0.14,0.11,24.8,1.91
