timestep,rollout,win_rate,draw_rate,loss_rate,avg_game_length,avg_sub_board_diff
20480,10,0.48,0.22,0.3,29.0,0.51
40960,20,0.38,0.21,0.41,29.8,0.02
61440,30,0.5,0.21,0.29,29.5,0.35
81920,40,0.52,0.16,0.32,29.3,0.49
102400,50,0.44,0.26,0.3,29.7,0.33
122880,60,0.46,0.28,0.26,29.6,0.32
143360,70,0.45,0.24,0.31,29.8,0.13
163840,80,0.48,0.26,0.26,29.7,0.34
184320,90,0.56,0.26,0.18,29.6,0.67
204800,100,0.5,0.21,0.29,29.2,0.43
225280,110,0.49,0.21,0.3,29.8,0.7
245760,120,0.54,0.17,0.29,29.3,0.81
266240,130,0.59,0.1,0.31,28.6,0.76
286720,140,0.58,0.15,0.27,28.9,0.71
307200,150,0.47,0.24,0.29,28.8,0.72
327680,160,0.5,0.19,0.31,28.5,0.59
348160,170,0.47,0.27,0.26,28.9,0.62
368640,180,0.5,0.24,0.26,29.1,0.63
389120,190,0.49,0.21,0.3,28.5,0.51
409600,200,0.56,0.25,0.19,28.8,1.05
430080,210,0.58,0.18,0.24,28.3,0.83
450560,220,0.61,0.16,0.23,28.5,1.08
471040,230,0.51,0.23,0.26,27.9,0.91
491520,240,0.52,0.24,0.24,28.2,0.89
