timestep,rollout,win_rate,draw_rate,loss_rate,avg_game_length,avg_sub_board_diff
20480,10,0.38,0.28,0.34,30.3,0.09
40960,20,0.49,0.25,0.26,30.1,0.09
61440,30,0.43,0.21,0.36,28.6,0.65
81920,40,0.54,0.23,0.23,28.9,0.67
102400,50,0.54,0.15,0.31,28.3,0.59
122880,60,0.5,0.18,0.32,29.2,0.34
143360,70,0.46,0.26,0.28,29.7,0.24
163840,80,0.49,0.22,0.29,29.3,0.62
184320,90,0.38,0.19,0.43,29.0,0.05
20480,10,0.52,0.21,0.27,28.8,0.66
40960,20,0.41,0.31,0.28,29.5,0.51
61440,30,0.44,0.21,0.35,28.8,0.53
81920,40,0.47,0.18,0.35,28.9,0.64
102400,50,0.52,0.14,0.34,28.5,0.7
122880,60,0.43,0.24,0.33,29.6,0.62
143360,70,0.49,0.25,0.26,29.8,0.52
163840,80,0.55,0.17,0.28,28.3,0.4
184320,90,0.45,0.18,0.37,28.6,0.25
204800,100,0.57,0.16,0.27,29.4,0.13
225280,110,0.48,0.16,0.36,29.6,0.05
245760,120,0.45,0.21,0.34,29.8,-0.11
266240,130,0.46,0.23,0.31,29.2,0.15
286720,140,0.6,0.15,0.25,29.6,0.52
307200,150,0.5,0.23,0.27,29.7,0.35
327680,160,0.44,0.14,0.42,29.4,-0.26
348160,170,0.44,0.17,0.39,29.9,0.24
368640,180,0.54,0.2,0.26,29.7,0.4
389120,190,0.51,0.2,0.29,29.4,0.37
409600,200,0.46,0.25,0.29,30.0,0.22
430080,210,0.43,0.23,0.34,29.8,0.11
450560,220,0.36,0.13,0.51,29.0,0.16
471040,230,0.44,0.31,0.25,29.1,0.3
491520,240,0.43,0.24,0.33,29.8,0.45
512000,250,0.44,0.21,0.35,29.9,0.4
532480,260,0.43,0.23,0.34,29.7,0.36
552960,270,0.49,0.18,0.33,29.5,0.22
573440,280,0.47,0.17,0.36,29.7,0.35
593920,290,0.36,0.24,0.4,30.0,-0.22
