timestep,rollout,win_rate,draw_rate,loss_rate,avg_game_length,avg_sub_board_diff
20480,10,0.49,0.15,0.36,30.1,-0.14
40960,20,0.37,0.24,0.39,30.0,-0.11
61440,30,0.41,0.26,0.33,29.9,0.3
81920,40,0.46,0.2,0.34,29.0,0.4
102400,50,0.42,0.19,0.39,29.2,0.26
122880,60,0.48,0.23,0.29,29.0,0.49
143360,70,0.44,0.3,0.26,29.2,0.79
163840,80,0.63,0.13,0.24,28.8,0.97
184320,90,0.51,0.16,0.33,28.5,0.58
204800,100,0.42,0.29,0.29,28.8,0.96
225280,110,0.48,0.2,0.32,28.6,0.78
245760,120,0.58,0.15,0.27,27.9,0.96
266240,130,0.49,0.26,0.25,28.8,0.58
286720,140,0.52,0.19,0.29,29.4,0.72
307200,150,0.51,0.25,0.24,28.7,0.8
327680,160,0.5,0.17,0.33,28.6,0.28
348160,170,0.52,0.2,0.28,29.4,0.67
368640,180,0.38,0.29,0.33,29.5,0.28
389120,190,0.48,0.29,0.23,28.6,0.52
409600,200,0.43,0.21,0.36,29.4,0.21
430080,210,0.46,0.22,0.32,30.2,0.31
450560,220,0.45,0.22,0.33,29.4,0.45
471040,230,0.45,0.25,0.3,29.8,0.15
491520,240,0.51,0.15,0.34,29.0,0.56
