timestep,rollout,win_rate,draw_rate,loss_rate,avg_game_length,avg_sub_board_diff
20480,10,0.45,0.22,0.33,30.0,0.4
40960,20,0.47,0.21,0.32,29.4,0.57
61440,30,0.49,0.16,0.35,29.7,0.56
81920,40,0.54,0.16,0.3,29.2,0.43
102400,50,0.46,0.22,0.32,29.1,0.38
122880,60,0.52,0.2,0.28,29.1,0.39
143360,70,0.53,0.21,0.26,28.8,0.6
163840,80,0.39,0.29,0.32,29.3,0.22
184320,90,0.53,0.19,0.28,28.8,0.67
204800,100,0.54,0.22,0.24,28.4,0.56
225280,110,0.57,0.26,0.17,28.1,0.66
245760,120,0.46,0.19,0.35,28.2,0.3
266240,130,0.57,0.2,0.23,29.0,0.73
286720,140,0.46,0.17,0.37,28.6,0.33
307200,150,0.57,0.17,0.26,27.8,0.48
327680,160,0.5,0.2,0.3,28.5,0.54
348160,170,0.46,0.27,0.27,28.8,0.34
368640,180,0.48,0.25,0.27,28.4,0.39
389120,190,0.58,0.15,0.27,27.7,0.68
409600,200,0.47,0.24,0.29,28.1,0.35
430080,210,0.51,0.23,0.26,29.0,0.49
450560,220,0.47,0.2,0.33,28.3,0.44
471040,230,0.5,0.22,0.28,28.8,0.61
491520,240,0.41,0.23,0.36,28.5,0.19
512000,250,0.6,0.15,0.25,28.1,0.64
532480,260,0.57,0.15,0.28,27.8,0.53
552960,270,0.49,0.21,0.3,28.8,0.59
573440,280,0.5,0.24,0.26,29.0,0.28
593920,290,0.49,0.2,0.31,29.4,0.31
614400,300,0.51,0.27,0.22,28.8,0.44
634880,310,0.55,0.19,0.26,28.9,0.68
655360,320,0.47,0.24,0.29,28.4,0.18
675840,330,0.59,0.26,0.15,28.7,0.71
696320,340,0.5,0.22,0.28,28.4,0.47
716800,350,0.47,0.2,0.33,29.2,0.32
737280,360,0.49,0.22,0.29,29.2,0.3
757760,370,0.47,0.19,0.34,29.2,0.12
778240,380,0.57,0.21,0.22,29.1,0.5
798720,390,0.61,0.18,0.21,29.3,0.64
819200,400,0.43,0.23,0.34,29.3,0.28
839680,410,0.44,0.22,0.34,29.2,0.18
860160,420,0.47,0.21,0.32,28.7,0.11
880640,430,0.42,0.26,0.32,29.8,0.27
901120,440,0.45,0.13,0.42,29.8,0.39
921600,450,0.4,0.18,0.42,29.1,0.14
942080,460,0.48,0.3,0.22,29.4,0.42
962560,470,0.48,0.26,0.26,29.3,0.34
983040,480,0.44,0.22,0.34,29.3,0.15
