timestep,rollout,win_rate,draw_rate,loss_rate,avg_game_length,avg_sub_board_diff
20480,10,0.5,0.15,0.35,29.6,0.28
40960,20,0.57,0.2,0.23,29.4,0.56
61440,30,0.45,0.25,0.3,29.8,0.32
81920,40,0.53,0.17,0.3,29.2,0.37
102400,50,0.47,0.25,0.28,29.4,0.53
122880,60,0.61,0.18,0.21,29.3,0.6
143360,70,0.57,0.2,0.23,28.4,0.62
163840,80,0.6,0.25,0.15,28.4,0.89
184320,90,0.61,0.2,0.19,27.6,1.02
204800,100,0.65,0.17,0.18,27.8,1.01
225280,110,0.74,0.13,0.13,26.6,1.42
245760,120,0.68,0.13,0.19,27.2,0.98
266240,130,0.79,0.09,0.12,25.8,1.21
286720,140,0.84,0.07,0.09,25.8,1.53
307200,150,0.84,0.11,0.05,24.5,1.55
327680,160,0.84,0.06,0.1,24.7,1.27
348160,170,0.88,0.08,0.04,23.5,1.49
368640,180,0.93,0.03,0.04,23.9,1.66
389120,190,0.91,0.02,0.07,23.4,1.51
409600,200,0.87,0.03,0.1,22.8,1.76
430080,210,0.91,0.05,0.04,22.3,1.64
450560,220,0.92,0.05,0.03,23.0,1.36
471040,230,0.96,0.0,0.04,23.2,1.75
491520,240,0.95,0.02,0.03,22.1,1.67
512000,250,0.98,0.0,0.02,22.2,1.77
532480,260,0.96,0.01,0.03,21.6,1.72
552960,270,0.91,0.05,0.04,22.5,1.45
573440,280,0.98,0.0,0.02,20.8,1.81
593920,290,0.93,0.02,0.05,22.0,1.56
614400,300,0.97,0.02,0.01,21.8,1.69
634880,310,0.95,0.01,0.04,21.9,1.59
655360,320,0.94,0.0,0.06,21.3,1.39
675840,330,0.95,0.03,0.02,21.9,1.43
696320,340,0.98,0.0,0.02,21.3,1.65
716800,350,0.95,0.04,0.01,21.7,1.75
737280,360,0.97,0.02,0.01,21.4,1.66
757760,370,0.95,0.02,0.03,20.9,1.63
778240,380,0.96,0.0,0.04,21.2,1.58
798720,390,0.96,0.03,0.01,21.2,1.31
819200,400,0.99,0.0,0.01,20.8,1.47
839680,410,0.94,0.02,0.04,21.0,1.64
860160,420,0.99,0.01,0.0,21.5,1.61
880640,430,0.95,0.04,0.01,21.3,1.42
901120,440,1.0,0.0,0.0,20.7,1.47
921600,450,0.96,0.01,0.03,21.0,1.58
942080,460,0.97,0.0,0.03,20.7,1.51
962560,470,0.99,0.01,0.0,21.0,1.61
983040,480,0.99,0.01,0.0,20.4,1.57
1003520,490,0.99,0.0,0.01,20.7,1.54
1024000,500,0.97,0.0,0.03,20.6,1.32
1044480,510,0.99,0.01,0.0,20.8,1.32
1064960,520,0.98,0.02,0.0,20.8,1.36
1085440,530,0.98,0.01,0.01,20.7,1.51
1105920,540,0.98,0.0,0.02,20.6,1.23
1126400,550,0.99,0.0,0.01,20.4,1.43
1146880,560,0.99,0.0,0.01,20.4,1.52
1167360,570,0.98,0.01,0.01,20.6,1.34
1187840,580,0.98,0.0,0.02,20.4,1.69
1208320,590,0.98,0.01,0.01,20.2,1.42
1228800,600,0.98,0.0,0.02,21.0,1.39
1249280,610,0.98,0.02,0.0,20.8,1.58
1269760,620,1.0,0.0,0.0,20.8,1.65
1290240,630,0.99,0.0,0.01,20.5,1.44
1310720,640,1.0,0.0,0.0,20.8,1.51
1331200,650,1.0,0.0,0.0,20.6,1.57
1351680,660,0.98,0.02,0.0,20.8,1.36
